I, [2008-12-09T15:04:35.496298 #1503]  INFO -- : 
#<Tones::Chord:0x1835d0 @type=:major, @chromatic_scale=[#<Tones::Note:0x183224 @index=0, @octave=1, @note="C">, #<Tones::Note:0x18315c @index=1, @octave=1, @note="C#">, #<Tones::Note:0x183120 @index=2, @octave=1, @note="D">, #<Tones::Note:0x1830bc @index=3, @octave=1, @note="D#">, #<Tones::Note:0x182fe0 @index=4, @octave=1, @note="E">, #<Tones::Note:0x182edc @index=5, @octave=1, @note="F">, #<Tones::Note:0x182d4c @index=6, @octave=1, @note="F#">, #<Tones::Note:0x182d10 @index=7, @octave=1, @note="G">, #<Tones::Note:0x182cd4 @index=8, @octave=1, @note="G#">, #<Tones::Note:0x182c98 @index=9, @octave=1, @note="A">, #<Tones::Note:0x182c5c @index=10, @octave=1, @note="A#">, #<Tones::Note:0x182b58 @index=11, @octave=1, @note="B">, #<Tones::Note:0x182a2c @index=0, @octave=2, @note="C">, #<Tones::Note:0x182900 @index=1, @octave=2, @note="C#">, #<Tones::Note:0x1827e8 @index=2, @octave=2, @note="D">, #<Tones::Note:0x182658 @index=3, @octave=2, @note="D#">, #<Tones::Note:0x18261c @index=4, @octave=2, @note="E">, #<Tones::Note:0x1825a4 @index=5, @octave=2, @note="F">, #<Tones::Note:0x182478 @index=6, @octave=2, @note="F#">, #<Tones::Note:0x18243c @index=7, @octave=2, @note="G">, #<Tones::Note:0x1821e4 @index=8, @octave=2, @note="G#">, #<Tones::Note:0x182144 @index=9, @octave=2, @note="A">, #<Tones::Note:0x18207c @index=10, @octave=2, @note="A#">, #<Tones::Note:0x181e60 @index=11, @octave=2, @note="B">, #<Tones::Note:0x181dac @index=0, @octave=3, @note="C">, #<Tones::Note:0x181b04 @index=1, @octave=3, @note="C#">, #<Tones::Note:0x181a50 @index=2, @octave=3, @note="D">, #<Tones::Note:0x18199c @index=3, @octave=3, @note="D#">, #<Tones::Note:0x181910 @index=4, @octave=3, @note="E">, #<Tones::Note:0x18180c @index=5, @octave=3, @note="F">, #<Tones::Note:0x1816f4 @index=6, @octave=3, @note="F#">, #<Tones::Note:0x181654 @index=7, @octave=3, @note="G">, #<Tones::Note:0x1814c4 @index=8, @octave=3, @note="G#">, #<Tones::Note:0x181474 @index=9, @octave=3, @note="A">, #<Tones::Note:0x181398 @index=10, @octave=3, @note="A#">, #<Tones::Note:0x1811f4 @index=11, @octave=3, @note="B">], @octave=1, @inversion=2, @root="C", @chord=[#<Tones::Note:0x182d10 @index=7, @octave=1, @note="G">, #<Tones::Note:0x182a2c @index=0, @octave=2, @note="C">, #<Tones::Note:0x18261c @index=4, @octave=2, @note="E">]>
I, [2008-12-09T15:05:40.984253 #1530]  INFO -- : [#<Tones::Note:0x182cfc @index=7, @octave=1, @note="G">, 
#<Tones::Note:0x182a18 @index=0, @octave=2, @note="C">, #<Tones::Note:0x182608 @index=4, @octave=2, @note="E">]
I, [2008-12-09T15:07:02.134626 #1556]  INFO -- : G 1C 2E 2
I, [2008-12-09T15:08:31.773551 #1564]  INFO -- : G 1C 2E 2
I, [2008-12-09T15:31:59.991459 #1667]  INFO -- : G 1C 2E 2
I, [2008-12-09T15:33:16.007332 #1675]  INFO -- : G 1C 2E 2
I, [2008-12-09T15:35:52.984231 #1735]  INFO -- : G 1C 2E 2
I, [2008-12-09T15:43:37.853356 #1816]  INFO -- : G 1C 2E 2
I, [2008-12-09T15:56:19.185404 #1851]  INFO -- : G 1C 2E 2
I, [2008-12-09T15:56:19.186073 #1851]  INFO -- : G 1C 2E 2
I, [2008-12-09T16:02:55.871625 #1936]  INFO -- : G 1C 2E 2
I, [2008-12-09T16:02:55.872300 #1936]  INFO -- : G 1C 2E 2
I, [2008-12-11T11:45:29.897561 #428]  INFO -- : G 1C 2E 2
I, [2008-12-11T11:45:29.904548 #428]  INFO -- : G 1C 2E 2
